iter	Passed	Remaining
317	2524	5413
318	2530	5402
319	2537	5392
320	2544	5381
321	2551	5371
322	2557	5360
323	2564	5349
324	2570	5339
325	2577	5328
326	2584	5319
327	2591	5309
328	2598	5298
329	2605	5289
330	2612	5280
331	2619	5270
332	2626	5260
333	2633	5250
334	2639	5240
335	2646	5229
336	2653	5219
337	2659	5208
338	2666	5199
339	2673	5189
340	2679	5179
341	2686	5169
342	2694	5160
343	2701	5151
344	2707	5141
345	2715	5132
346	2722	5124
347	2730	5115
348	2736	5105
349	2743	5095
350	2751	5088
351	2758	5078
352	2765	5069
353	2773	5060
354	2780	5051
355	2787	5042
356	2795	5034
357	2802	5024
358	2809	5016
359	2817	5008
360	2824	4999
361	2831	4990
362	2838	4981
363	2845	4972
364	2852	4963
365	2859	4953
366	2867	4945
367	2875	4937
368	2882	4929
369	2890	4921
370	2897	4911
371	2904	4903
372	2911	4894
373	2919	4886
374	2926	4877
375	2933	4868
376	2941	4860
377	2947	4850
378	2955	4842
379	2962	4832
380	2969	4825
381	2977	4816
382	2984	4808
383	2992	4800
384	2999	4791
385	3007	4783
386	3014	4774
387	3021	4765
388	3028	4756
389	3036	4748
390	3043	4740
391	3051	4732
392	3058	4724
393	3066	4715
394	3073	4707
395	3081	4699
396	3088	4691
397	3096	4683
398	3103	4674
399	3110	4665
400	3118	4657
401	3124	4648
402	3132	4639
403	3139	4631
404	3146	4622
405	3154	4615
406	3161	4606
407	3169	4598
408	3177	4590
409	3183	4581
410	3191	4573
411	3198	4564
412	3205	4555
413	3212	4546
414	3219	4537
415	3226	4529
416	3233	4520
417	3240	4512
418	3247	4503
419	3255	4495
420	3262	4487
421	3269	4478
422	3276	4470
423	3284	4461
424	3291	4452
425	3298	4444
426	3305	4435
427	3312	4427
428	3319	4418
429	3327	4410
430	3334	4401
431	3341	4393
432	3349	4385
433	3356	4377
434	3363	4368
435	3370	4360
436	3377	4351
437	3385	4343
438	3392	4335
439	3399	4326
440	3406	4318
441	3413	4309
442	3420	4301
443	3428	4293
444	3434	4283
445	3441	4274
446	3448	4266
447	3455	4257
448	3462	4249
449	3469	4239
450	3475	4231
451	3482	4222
452	3489	4213
453	3496	4205
454	3503	4197
455	3511	4189
456	3518	4180
457	3525	4171
458	3532	4163
459	3539	4154
460	3546	4146
461	3553	4138
462	3560	4129
463	3568	4121
464	3575	4113
465	3582	4105
466	3589	4097
467	3596	4088
468	3603	4079
469	3610	4071
470	3617	4063
471	3625	4055
472	3632	4047
473	3639	4038
474	3646	4030
475	3654	4022
476	3661	4014
477	3669	4006
478	3676	3998
479	3682	3989
480	3689	3981
481	3696	3972
482	3703	3964
483	3710	3956
484	3718	3948
485	3725	3940
486	3732	3931
487	3739	3923
488	3746	3915
489	3753	3907
490	3761	3898
491	3768	3890
492	3775	3883
493	3782	3874
494	3789	3866
495	3797	3858
496	3804	3850
497	3811	3842
498	3818	3833
499	3825	3825
500	3832	3817
501	3839	3809
502	3847	3801
503	3854	3793
504	3861	3785
505	3868	3777
506	3876	3769
507	3883	3760
508	3890	3752
509	3897	3744
510	3904	3736
511	3911	3728
512	3918	3720
513	3926	3712
514	3933	3704
515	3940	3696
516	3947	3688
517	3954	3679
518	3961	3671
519	3969	3664
520	3976	3656
521	3983	3648
522	3990	3639
523	3998	3631
524	4005	3623
525	4012	3615
526	4019	3607
527	4026	3599
528	4034	3592
529	4041	3584
530	4048	3575
531	4055	3567
532	4062	3559
533	4069	3551
534	4076	3543
535	4083	3535
536	4090	3526
537	4097	3518
538	4104	3510
539	4111	3502
540	4117	3493
541	4125	3486
542	4133	3478
543	4140	3470
544	4147	3462
545	4154	3454
546	4161	3446
547	4168	3438
548	4176	3430
549	4183	3423
550	4192	3416
551	4199	3408
552	4207	3400
553	4214	3392
554	4221	3384
555	4228	3376
556	4235	3368
557	4242	3360
558	4250	3352
559	4257	3344
560	4264	3336
561	4271	3328
562	4278	3320
563	4285	3312
564	4292	3304
565	4299	3296
566	4306	3288
567	4313	3280
568	4320	3272
569	4327	3264
570	4334	3256
571	4341	3248
572	4348	3240
573	4356	3232
574	4363	3224
575	4370	3217
576	4377	3209
577	4384	3201
578	4391	3193
579	4398	3185
580	4405	3177
581	4413	3169
582	4419	3161
583	4426	3153
584	4433	3145
585	4440	3137
586	4447	3128
587	4453	3120
588	4460	3112
589	4467	3104
590	4473	3096
591	4480	3087
592	4487	3079
593	4493	3071
594	4500	3063
595	4507	3055
596	4514	3047
597	4522	3039
598	4529	3032
599	4536	3024
600	4542	3015
601	4548	3007
602	4555	2999
603	4562	2991
604	4569	2983
605	4576	2975
606	4583	2967
607	4589	2959
608	4597	2951
609	4604	2943
610	4611	2935
611	4618	2927
612	4624	2919
613	4631	2911
614	4638	2903
615	4645	2895
616	4652	2887
617	4659	2880
618	4665	2871
619	4672	2864
620	4679	2856
621	4687	2848
622	4694	2840
623	4701	2833
624	4709	2825
625	4716	2817
626	4723	2810
627	4730	2802
628	4738	2794
629	4745	2786
630	4752	2779
631	4760	2771
632	4767	2764
633	4774	2756
634	4781	2748
635	4788	2740
636	4796	2733
637	4803	2725
638	4810	2717
639	4817	2709
640	4824	2702
641	4831	2694
642	4838	2686
643	4845	2678
644	4852	2670
645	4860	2663
646	4867	2655
647	4874	2647
648	4881	2639
649	4888	2632
650	4895	2624
651	4902	2616
652	4909	2608
653	4916	2601
654	4923	2593
655	4930	2585
656	4937	2577
657	4944	2570
658	4951	2562
659	4958	2554
660	4965	2546
661	4972	2539
662	4979	2531
663	4986	2523
664	4994	2515
665	5001	2508
666	5008	2500
667	5014	2492
668	5021	2484
669	5028	2476
670	5035	2468
671	5042	2461
672	5049	2453
673	5056	2445
674	5063	2438
675	5070	2430
676	5077	2422
677	5084	2414
678	5091	2407
679	5098	2399
680	5106	2391
681	5113	2384
682	5120	2376
683	5127	2368
684	5134	2361
685	5141	2353
686	5148	2345
687	5155	2337
688	5162	2330
689	5170	2322
690	5177	2315
691	5184	2307
692	5192	2300
693	5199	2292
694	5206	2285
695	5213	2277
696	5221	2269
697	5227	2261
698	5234	2254
699	5241	2246
700	5249	2238
701	5256	2231
702	5263	2223
703	5270	2215
704	5277	2208
705	5284	2200
706	5291	2193
707	5298	2185
708	5305	2177
709	5313	2170
710	5319	2162
711	5326	2154
712	5333	2146
713	5340	2139
714	5346	2131
715	5354	2123
716	5361	2116
717	5368	2108
718	5375	2100
719	5382	2093
720	5389	2085
721	5396	2077
722	5403	2070
723	5410	2062
724	5417	2054
725	5424	2047
726	5431	2039
727	5438	2031
728	5445	2024
729	5452	2016
730	5460	2009
731	5467	2001
732	5474	1994
733	5481	1986
734	5488	1978
735	5495	1971
736	5503	1963
737	5510	1956
738	5517	1948
739	5524	1941
740	5531	1933
741	5538	1925
742	5545	1918
743	5552	1910
744	5559	1902
745	5566	1895
746	5573	1887
747	5580	1880
748	5587	1872
749	5594	1864
750	5602	1857
751	5609	1849
752	5616	1842
753	5623	1834
754	5631	1827
755	5638	1819
756	5645	1812
757	5652	1804
758	5659	1796
759	5666	1789
760	5673	1781
761	5680	1774
762	5687	1766
763	5694	1759
764	5701	1751
765	5709	1744
766	5716	1736
767	5723	1728
768	5728	1720
769	5735	1713
770	5742	1705
771	5749	1697
772	5756	1690
773	5763	1682
774	5770	1675
775	5777	1667
776	5784	1660
777	5791	1652
778	5798	1645
779	5805	1637
780	5812	1629
781	5819	1622
782	5827	1614
783	5834	1607
784	5841	1599
785	5848	1592
786	5855	1584
787	5862	1577
788	5869	1569
789	5876	1562
790	5883	1554
791	5890	1546
792	5897	1539
793	5904	1531
794	5911	1524
795	5918	1516
796	5925	1509
797	5932	1501
798	5939	1494
799	5946	1486
800	5953	1478
801	5959	1471
802	5967	1463
803	5974	1456
804	5981	1449
805	5988	1441
806	5995	1433
807	6002	1426
808	6009	1418
809	6016	1411
810	6023	1403
811	6030	1396
812	6036	1388
813	6042	1380
814	6049	1373
815	6056	1365
816	6063	1358
817	6069	1350
818	6076	1342
819	6083	1335
820	6090	1327
821	6097	1320
822	6104	1312
823	6111	1305
824	6118	1297
825	6125	1290
826	6132	1282
827	6139	1275
828	6146	1267
829	6153	1260
830	6160	1252
831	6167	1245
832	6174	1237
833	6182	1230
834	6189	1223
835	6196	1215
836	6203	1208
837	6210	1200
838	6217	1193
839	6224	1185
840	6231	1178
841	6238	1170
842	6245	1163
843	6251	1155
844	6259	1148
845	6265	1140
846	6272	1133
847	6279	1125
848	6287	1118
849	6294	1110
850	6301	1103
851	6307	1095
852	6314	1088
853	6321	1080
854	6328	1073
855	6335	1065
856	6342	1058
857	6349	1050
858	6356	1043
859	6362	1035
860	6370	1028
861	6377	1020
862	6383	1013
863	6390	1005
864	6397	998
865	6405	991
866	6411	983
867	6418	976
868	6425	968
869	6432	961
870	6438	953
871	6445	946
872	6452	938
873	6459	931
874	6466	923
875	6473	916
876	6481	908
877	6488	901
878	6495	894
879	6502	886
880	6509	879
881	6515	871
882	6522	864
883	6529	856
884	6535	849
885	6543	841
886	6550	834
887	6556	826
888	6563	819
889	6570	812
890	6577	804
891	6584	797
892	6591	789
893	6598	782
894	6605	774
895	6612	767
896	6619	760
897	6626	752
898	6633	745
899	6640	737
900	6647	730
901	6654	722
902	6661	715
903	6668	708
904	6675	700
905	6683	693
906	6690	685
907	6697	678
908	6704	671
909	6711	663
910	6718	656
911	6725	648
912	6732	641
913	6739	634
914	6746	626
915	6753	619
916	6760	611
917	6767	604
918	6773	597
919	6780	589
920	6787	582
921	6794	574
922	6801	567
923	6808	560
924	6815	552
925	6822	545
926	6829	537
927	6836	530
928	6843	522
929	6850	515
930	6857	508
931	6864	500
932	6870	493
933	6877	486
934	6884	478
935	6891	471
936	6898	463
937	6904	456
938	6911	448
939	6918	441
940	6924	434
941	6931	426
942	6938	419
943	6945	412
944	6952	404
945	6959	397
946	6965	389
947	6973	382
948	6980	375
949	6987	367
950	6994	360
951	7001	353
952	7008	345
953	7015	338
954	7022	330
955	7029	323
956	7036	316
957	7043	308
958	7050	301
959	7057	294
960	7064	286
961	7072	279
962	7079	271
963	7086	264
964	7093	257
965	7100	249
966	7107	242
967	7114	235
968	7121	227
969	7128	220
970	7135	213
971	7142	205
972	7149	198
973	7156	191
974	7163	183
975	7170	176
976	7177	168
977	7185	161
978	7192	154
979	7199	146
980	7205	139
981	7212	132
982	7219	124
983	7226	117
984	7233	110
985	7240	102
986	7247	95
987	7253	88
988	7259	80
989	7267	73
990	7274	66
991	7281	58
992	7287	51
993	7294	44
994	7301	36
995	7308	29
996	7315	22
997	7322	14
998	7329	7
999	7336	0
